"母とテレビを見ていた際、
波田陽区さんにそっくりな人が出ていました。
私は失礼ながら名前が出てこなくて
似てるな～と思いながら見ていたら、
母がこう言いました。
「この人さ～、あの人に似てない！？
　え～っと、オノヨーコ！」
すぐ「あっ違う、波田陽区！」
と訂正してましたが、
お互い爆笑しながら「残念！」と思いました。
（achico）",オノヨーコ！
"友達のＴちゃんは
お笑いの「ますだおかだ」を
「おかだますお」と言います。
おかだ‥‥からはじめるからダメなんだよ。
（くー）",「おかだますお」
"ミュージックステーションの出演者を
母に尋ねたときのこと。
母「えーと、桑田佳祐でしょー、
　　あと、槙原ノリスケ」
私「磯野ファミリーか‥‥。あとは？」
母「浜崎‥‥浜崎なおみ」
ものまねパブ化してしまいました。
（のりゆきさんとあゆみさん）",槙原ノリスケ
"風邪をひいて寝込んでいた時のこと。
喉が渇いた僕にスポーツドリンクを
持ってきてくれた母が一言。
「アクリスエット飲む～？」
‥‥ポカエリアスでもいいかな。
（おいもさま）",浜崎なおみ
"あの超有名アニメのタイトルを
『ドラボンゴール』と言いまつがい。
金髪を逆立てたエース・ストライカーが
ミラクルゴールを決めまくる
少林サッカーチックなアニメの
ワンシーンが脳裡をよぎってゆきました。
（なお）",アクリスエット
"私が新しいアイシャドーを
つけたときの妹のひと言。
「あっ、それ、
　ウーシュエムラで買ったやつでしょ」
‥‥どうやら、化粧品ブランド
シューウエムラを言いまつがえたようです。
（さみ）",『ドラボンゴール』
"オシャレが好き、ブランドにも敏感な私。
「やっぱり香水はギブンチャイだよねぇ」
なんてカッコつけて言ってましたが、
何を隠そう、「GIVENCHY」を
ずっと読みまつがってました。
（じばんしぃ）",ウーシュエムラ
"本屋さんで探していた本が見つからないとき、
妻がこう言った。
「あー、置いてないから
　インターネットで通販する？
　ほら、パパが仕事の本とか買ってるサイトで。
　‥‥バカボン？」
「‥‥Amazonです‥‥」
バカボンでは本は買えません。
（ミキチョフ）",ギブンチャイ
"今は亡き母が元気な頃の事。
夕方頃、電話をかけてきました。
「今朝、テレビに
　ジャクソンさんが出ててね、
　いいお話してたわよー」
考える事１分‥‥
お母さん、それは寂聴さんだろう。
瀬戸内ジャクソン、笑いました。
マイケルも母も天国で踊っている事でしょう。
（姉も天然）",‥‥バカボン？
"「フォーッ！」などと、
マイケルジャクソンの真似をして
ハイテンションなオットが、
「ITISIT！」
と決めてくれた。
‥‥惜しい。
（それはそれ）",ジャクソンさん
