"旅先にて発見した
「カルピスラーメン」
の大きな看板。
えっ？　どんな味！？
と思って二度見したら、
「カルビスープラーメン」だった。
（イソロク）",「カルピスラーメン」

"友人と本屋に入ってぶらぶらしてたら、
彼女がいきなり哲学書のコーナーに駆け寄った。
何かと思ったら、「ヘーゲル入門」を
「ベーグル入門」
と見まつがえたそう。
（ぱぱんがパン）",「ベーグル入門」
"「むささび」が
「むきえび」
に見えた主婦のサガ。
（なぼちん）",「むきえび」
"「非上場化」と「井上陽水」。
（金魚）",「非上場化」
"今朝、ヨメさんから聞いた
彼女の同僚の読みまつがい。
レストランのメニューボードの前で‥‥。
同僚「ねえ、噛まないサラダって
　　　どんなのかな？」
ヨメ「野菜ジュースとか？」
同僚「だったら野菜ジュースでいいじゃない？」
ヨメがボードを見てみるとソコには
「まかないサラダ」とありました‥‥。
（ケンケン）",「井上陽水」
"ネットでニュースを
チェックしていたときのこと。
「図書館の机盗み焼き鳥店で使用」
というヘッドラインを、
「図書館の机盗み、焼き、鳥店で使用」
だと思い込み、盗んだ上に焼いて
しかも肉屋に持ってったのか！？
といらぬ妄想を膨らませていたのですが、
「図書館の机盗み、焼き鳥店で使用」
という意味だったようです。
（つくねとはつが好き）",噛まないサラダ
"千葉県在住のワタクシ。
「臼井（うすい）駅に○時に迎えにきてね」
と友人に待ち合わせメールしまして、
了解、と返ってきました。
当日を迎えましたが、
待ち合わせ時刻になっても友人の車がない。
そこへ電話が。
友人「どこにいるの？」
私　「臼井駅の前に‥‥」
友人「う、うすい！？
　　　しろい、じゃないの？」
そう、友人は、
「臼井」と「白井」を間違えて読んで
白井駅にいたのでした。
両方とも千葉県のニュータウン方面に
ある駅でございます‥‥。
（ふくＰ）",机盗み、焼き、鳥店で
"ビル街を歩いていたら、
ある建物の入り口に
「OKASAN　ASIA　CENTER」
という大きな文字が書いてあった。
「お母さんアジアセンター」か～。
なるほど、母のような慈愛の心で
アジアの留学生のお世話をするセンターなのね、
などと思って通り過ぎようとしたら
「岡三アジアセンター」。
証券会社のビルでした。
（ふぁんどいっち）",しろい
"「倉科さん」を
「食料さん」
と読みまつがえました。
確かにお腹は空いていました。
（マロン）",「お母さんアジアセンター」
