"お客様へのＦＡＸ送信書に
「ご確認お願いします」と書いたつもりが、
無意識ながらも堂々とした文字で
「ご確認おめでとうございます」
と書いていました。
５分後、お客様が爆笑しながら電話をしてきて、
「前向きな間違いでいいね」
と言ってくださいました。
（ぷち）",おめでとうございます
"携帯電話のメモ帳欄に、
買い物リストを作っています。
新生活にあたり、
こまごまと買う物を入力したあと、見直すと、
「目覚ましドケチ」
が目を引きました。
（ある意味ちゃんと起きそう）",ドケチ
"建築関係の会社に勤めています。
「修善寺」と書こうとしたら
「修繕寺」
と書いてしまいました。
（お寺の修繕はやっていません）",「修繕寺」

"とある通販のカタログに
「北海道産と供養昆布」と。
「北海道産徳用昆布」ですかね。
（ありさん）",「北海道産と供養昆布」
"電話で道をきいたときの、
私が書いたメモを見て母が
「これ、読めない」と。
そこには「地下に上りる」と。
のぼりる‥‥？　しかも、どっち？
（JINKO）",上りる
"コンサートの曲の紹介のメモ。
『レ・ミゼラブル』の原作の邦題
『ああ無情』を
『ああ無精』
と書いてしまってました。
本番の前に気が付いて良かったです。
ちなみに『ノッティングヒルの恋人』を
『ノッティングヒルの変人』
と書いてしまったこともあります。
（ものぐさ姫）",『ああ無精』
"仕事で、
補助金関係の書類を整理していたとき、
書類をめくっていると
「弁当財源」
という言葉が目の端をよぎった。
「補助金だからお弁当の補助もあるのか」
と一瞬思ったが、よくみると
「充当財源」だった。
（ばなな）",変人
"書きまつがいです。昨日のことでした。
お客様から「アンドレ」という
商品について問合せを受けました。
社内ではわからなかったので、
すぐ上の卸の会社に問合せを入れました。
商品が記載されているカタログを眺め、
「ベルばら」な名前だなあ、などと思いながら
質問ＦＡＸを書いて送信、そして帰宅。
今朝出社すると、返信がありました。
「ネットでも探しましたが
　見つかりませんでした」
ええっ、だってカタログにあったのに！
と驚き、よく見ると‥‥やっつまってました。
「オスカルについて教えて下さい‥‥」
（ごめんなさいＨさん！）",「弁当財源」
"取引先から外出中の部長宛に電話。
私が書いた伝言メモ。
「○○様よりお電話ありませんでした。
　またかけますとのことです。15:30」
あるのかないのか！
（キヨスイ）",オスカル
