"おしゃれに目覚めてきた
４歳になりたての娘は
お化粧をしてあげるとうれしそう。
ファンデーションだけでやめた私に
ちょっと怒りながら言った一言。
「ちょっとぉ、
　く・ち・べ・るは！」
ん！？　あー、
「くちびる（唇）にくちべに（口紅）」。
４歳の強気な言いまつがい。
それだけで愛しさ増す親バカのわたしです。
（shibuco）",く・ち・べ・る
"うちの家族は
焼肉の食べ放題によく行くのですが、
行く度に７歳の娘が言います‥‥。
「ママ、パパ、
　ラストオーバーは何時？？」
‥‥ラストオーダーやろ！
とは突っ込みませんが。
（みきにゃん★）",ラストオーバー
"私の小学校３年生の弟が、
「八百万（やおよろず）の神様」
と言おうとして‥‥。
「やよよろず‥‥？
　やおおろず‥‥？
　やよおろず‥‥？
　やろおろず‥‥？」
がんばりましたが、
とうとう辿り着けませんでした。
（くるくるボール）",「やよよろず‥‥？
				                　やおおろず‥‥？
				                　やよおろず‥‥？
				                　やろおろず‥‥？」
"晩ご飯のサラダを一口食べた娘（２歳）。
ドレッシングを
もう少しかけてほしかった様で、
サラダを持ち、私の方を見て一言
「つゆ！」
と言いました。
（春からは２年生）",「つゆ！」

"４歳の姪（姉の子）を半年ぶりに
某ショッピングモールに連れて行った時のこと。
車の窓からモールが見えた途端、
姪「あ～、香ばしい！」
姉「違うよ。なつかしいでしょ」
瞬時に「香ばしい」が「懐かしい」の
言いまつがいだと気付く母親に敬服。
（ｓ）",香ばしい！
"ある理髪店で
「マイナスイオン発生中」
と書いてあるのを見て
髪を切りに来ていた子供が母親に
「マーライオン発生中だって」
と言っていました。
（チョコバンク）",マーライオン
"書店員です。児童書コーナーで
小６くらいの男の子がお母さんに
「え～、『ひらやものがたり』なんて
　読まないよ」と。
お母さんが手にしていた本は『平家物語』。
二階建てならいいのかな？
なんて心の中で突っ込んでみたワタシ。
（ｎｓ）",『ひらやものがたり』
"今年高校生になった二男が
幼稚園の時の話です。
おばあちゃんが炊いてくれた
赤飯をもらって家に帰って
さあ食べようとしたとき
「ねえねえ、
　ここにはいってるのはダンゴ虫？」
と聞きました。
（いまだ赤飯を炊かない母）",ダンゴ虫？
